Price,Open,High,Low,Close,Adj Close,Volume
2003-08-01,5365.705870871416,5692.904595989742,5174.746767965868,5650.8046875,5650.8046875,88579600
2003-09-01,5690.814093719903,5809.403889151161,5591.3047783587535,5611.384765625,5611.384765625,73056800
2003-10-01,5599.074319123174,6173.821672945819,5560.524203641874,6045.09228515625,6045.09228515625,105525200
2003-11-01,6054.282912861699,6182.172476158977,5740.54408520493,5771.744140625,5771.744140625,77320800
2003-12-01,5768.663642131633,5945.5026796743905,5718.413871219791,5890.6630859375,5890.6630859375,66614800
2004-01-01,5907.1223047125395,6421.42019492022,5907.1223047125395,6375.35009765625,6375.35009765625,83746600
2004-02-01,6379.950445887333,6756.728486832273,6210.321348335539,6750.5087890625,6750.5087890625,153149800
2004-03-01,6816.758398207349,7134.966882139511,6020.612191277951,6522.15966796875,6522.15966796875,166128200
2004-04-01,6504.5104476629795,6916.278593910171,6023.552674778481,6117.7822265625,6117.7822265625,130071200
2004-05-01,6102.572183229671,6191.811521124243,5450.69528223686,5977.8125,5977.8125,84181000
2004-06-01,5991.462679629961,6010.472357829425,5514.144562316634,5839.4130859375,5839.4130859375,67636000
2004-07-01,5849.71336040291,5870.562873993859,5280.395663386261,5420.544921875,5420.544921875,55973600
2004-08-01,5404.165684437448,5864.543500812503,5255.036471001665,5765.51416015625,5765.51416015625,57219600
2004-09-01,5799.793179480215,5970.262611173032,5712.923949658526,5845.6630859375,5845.6630859375,80302200
2004-10-01,5869.393803742529,6135.522502312697,5597.774895228168,5705.90478515625,5705.90478515625,76337800
2004-11-01,5725.623594160319,6088.092143527999,5628.224139349083,5844.73291015625,5844.73291015625,68043000
2004-12-01,5778.033865878865,6160.932032486422,5745.023761612488,6139.662109375,6139.662109375,70088800
2005-01-01,6166.361505324302,6183.121193131414,5734.843489399638,5994.2021484375,5994.2021484375,60913600
2005-02-01,6015.751867807718,6233.500857298215,5979.892170940854,6207.80126953125,6207.80126953125,48216600
2005-03-01,6227.3910631982935,6267.490975025457,5940.152648211017,6005.85205078125,6005.85205078125,72597600
2005-04-01,6010.682720714997,6048.342706291143,5565.384934102873,5818.04345703125,5818.04345703125,51330400
2005-05-01,5845.1130751704395,6026.501883818881,5793.223178690146,6011.5322265625,6011.5322265625,54408200
2005-06-01,6002.522100957504,6401.7805121471365,5962.852362172164,6241.9111328125,6241.9111328125,82907600
2005-07-01,6240.051114971345,6480.940133605398,6180.551391138898,6311.95068359375,6311.95068359375,76240400
2005-08-01,6320.640765008964,6481.590217868,5976.372333574382,6033.4423828125,6033.4423828125,66736800
2005-09-01,6081.682296754709,6186.091978068932,5894.963419533707,6118.58203125,6118.58203125,55299200
2005-10-01,6128.942698744489,6171.842408488515,5618.8746762124365,5764.27392578125,5764.27392578125,58611800
2005-11-01,5803.223050008159,6212.321247824785,5786.613263862252,6203.44140625,6203.44140625,68303000
2005-12-01,6196.331217072055,6600.139408823389,6162.83137194492,6548.3095703125,6548.3095703125,89135000
