date,PE,DividendYield,PB
2006-05-01,17.46,1.8,2.76
2006-06-01,16.82,1.87,2.76
2006-07-01,16.61,1.88,2.76
2006-08-01,16.67,1.85,2.76
2006-09-01,16.77,1.83,2.76
2006-10-01,17.14,1.79,2.76
2006-11-01,17.24,1.77,2.76
2006-12-01,17.38,1.76,2.81
2007-01-01,17.36,1.76,2.81
2007-02-01,17.49,1.75,2.81
2007-03-01,16.92,1.81,2.81
2007-04-01,17.48,1.76,2.81
2007-05-01,17.92,1.72,2.81
2007-06-01,17.83,1.73,2.81
2007-07-01,18.36,1.74,2.81
2007-08-01,18.02,1.84,2.81
2007-09-01,19.05,1.8,2.81
2007-10-01,20.68,1.77,2.81
2007-11-01,20.81,1.88,2.81
2007-12-01,22.35,1.87,2.77
2008-01-01,21.46,2.03,2.77
2008-02-01,21.74,2.07,2.77
2008-03-01,21.81,2.15,2.77
2008-04-01,23.88,2.08,2.77
2008-05-01,25.81,2.04,2.77
2008-06-01,26.11,2.14,2.77
2008-07-01,25.37,2.29,2.77
2008-08-01,26.83,2.25,2.77
2008-09-01,26.48,2.37,2.77
2008-10-01,27.22,2.96,2.77
2008-11-01,34.99,3.23,2.77
2008-12-01,58.98,3.23,2.0
2009-01-01,70.91,3.24,2.0
2009-02-01,84.46,3.43,2.0
2009-03-01,110.37,3.6,2.0
2009-04-01,119.85,3.15,2.0
2009-05-01,123.73,2.9,2.0
2009-06-01,123.32,2.76,2.0
2009-07-01,101.87,2.67,2.0
2009-08-01,92.95,2.42,2.0
2009-09-01,83.3,2.29,2.0
2009-10-01,42.12,2.19,2.0
2009-11-01,28.51,2.1,2.0
2009-12-01,21.78,2.02,2.17
2010-01-01,20.7,1.98,2.17
2010-02-01,18.91,2.03,2.17
2010-03-01,18.91,1.9,2.17
2010-04-01,19.01,1.83,2.17
2010-05-01,17.3,1.95,2.17
2010-06-01,16.15,2.03,2.17
2010-07-01,15.72,2.05,2.17
2010-08-01,15.47,2.05,2.17
2010-09-01,15.61,1.99,2.17
2010-10-01,15.9,1.92,2.17
2010-11-01,15.88,1.89,2.17
2010-12-01,16.05,1.83,2.17
2011-01-01,16.3,1.79,2.17
2011-02-01,16.52,1.76,2.17
2011-03-01,16.04,1.8,2.17
2011-04-01,16.21,1.78,2.17
2011-05-01,16.12,1.8,2.17
2011-06-01,15.35,1.89,2.17
2011-07-01,15.61,1.86,2.17
2011-08-01,13.79,2.1,2.17
2011-09-01,13.5,2.15,2.17
2011-10-01,13.88,2.12,2.17
2011-11-01,14.1,2.12,2.17
2011-12-01,14.3,2.13,2.05
2012-01-01,14.87,2.06,2.05
2012-02-01,15.37,2.0,2.05
2012-03-01,15.69,1.97,2.05
2012-04-01,15.7,2.0,2.05
2012-05-01,15.22,2.09,2.05
2012-06-01,15.05,2.14,2.05
2012-07-01,15.55,2.11,2.05
2012-08-01,16.14,2.08,2.05
2012-09-01,16.69,2.05,2.05
2012-10-01,16.62,2.1,2.05
2012-11-01,16.12,2.2,2.05
2012-12-01,16.44,2.2,2.14
2013-01-01,17.03,2.13,2.14
2013-02-01,17.32,2.1,2.14
2013-03-01,17.68,2.07,2.14
2013-04-01,17.69,2.07,2.14
2013-05-01,18.25,2.01,2.14
2013-06-01,17.8,2.06,2.14
2013-07-01,18.12,2.02,2.14
2013-08-01,17.91,2.04,2.14
2013-09-01,17.88,2.04,2.14
2013-10-01,17.86,2.01,2.14
2013-11-01,18.15,1.95,2.14
2013-12-01,18.04,1.94,2.58
2014-01-01,18.15,1.94,2.58
2014-02-01,18.06,1.97,2.58
2014-03-01,18.48,1.94,2.58
2014-04-01,18.35,1.96,2.58
2014-05-01,18.46,1.96,2.58
2014-06-01,18.88,1.92,2.58
2014-07-01,18.96,1.91,2.58
2014-08-01,18.68,1.94,2.58
2014-09-01,18.81,1.93,2.58
2014-10-01,18.5,2.0,2.58
2014-11-01,19.75,1.91,2.58
2014-12-01,20.08,1.92,2.83
2015-01-01,20.02,1.97,2.83
2015-02-01,20.77,1.94,2.83
2015-03-01,20.96,1.96,2.83
2015-04-01,21.42,1.96,2.83
2015-05-01,21.92,1.96,2.83
2015-06-01,22.12,1.99,2.83
2015-07-01,22.4,2.01,2.83
2015-08-01,22.15,2.07,2.83
2015-09-01,21.45,2.19,2.83
2015-10-01,22.68,2.11,2.83
2015-11-01,23.67,2.07,2.83
2015-12-01,23.74,2.11,2.76
2016-01-01,22.18,2.27,2.76
2016-02-01,22.02,2.3,2.76
2016-03-01,23.39,2.17,2.76
2016-04-01,23.97,2.12,2.76
2016-05-01,23.81,2.14,2.76
2016-06-01,23.97,2.13,2.76
2016-07-01,24.52,2.08,2.76
2016-08-01,24.57,2.07,2.76
2016-09-01,24.22,2.09,2.76
2016-10-01,23.57,2.11,2.76
2016-11-01,23.35,2.1,2.76
2016-12-01,23.76,2.03,2.91
2017-01-01,23.59,2.02,2.91
